id,week,home_id,home_team,home_points,away_id,away_team,away_points
401431107,1,174,Hobart,36,365,Alfred,6
401435140,1,2383,Merchant Marine,7,2221,FDU-Florham,17
401436997,1,2234,Franklin & Marshall,26,388,Lebanon Valley,7
401411094,1,150,Duke,30,218,Temple,0
401405061,1,84,Indiana,23,356,Illinois,20
401404052,1,2305,Kansas,56,2635,Tennessee Tech,10
401403966,1,38,Colorado,13,2628,TCU,38
401428336,1,2523,Robert Morris,20,2168,Dayton,22
401431984,1,2477,Ohio Dominican,28,2224,Findlay,14
401432529,1,2442,College of New Jersey,31,323,Moravian,13
401415611,1,2426,Navy,7,48,Delaware,14
401411096,1,151,East Carolina,20,152,NC State,21
401432740,1,2018,Allegheny,27,237,Union,42
401433013,1,2038,Assumption,3,2315,Kutztown,0
401431403,1,2368,Marist,12,46,Georgetown,43
401439546,1,2256,Greensboro,48,2258,Guilford,37
401432551,1,18,Bridgewater State,14,175,Ithaca,51
401432616,1,2980,Ohio Wesleyan,13,359,Otterbein,21
401431050,1,379,UMass Dartmouth,35,2280,Husson,14
401441936,1,2781,Brockport State (NY),27,2967,Framingham State,7
401438614,1,2776,Salve Regina,7,2467,Norwich,0
401435118,1,2782,SUNY Cortland,48,2746,Wittenberg,28
401432790,1,2808,Delaware Valley,22,2849,Westminster PA,8
401431015,1,2588,Southwestern University,7,2094,Cal Lutheran,37
401405067,1,130,Michigan,51,36,Colorado State,7
401422975,1,2127,Charleston Southern,38,2717,Western Carolina,52
401405066,1,120,Maryland,31,2084,Buffalo,10
401445766,1,3110,Morrisville State,10,2871,Kean,0
401450146,1,2972,Plymouth State,20,293,Castleton State College,7
401431067,1,2790,Albion,52,2106,Carthage,0
401403865,1,245,Texas A&M,31,2534,Sam Houston State,0
401405069,1,103,Boston College,21,164,Rutgers,22
401432518,1,630,Wayland Baptist,14,2810,Hardin-Simmons,79
401431029,1,2963,Case Western Reserve,14,118,Johns Hopkins,54
401430960,1,317,Marietta,14,49,Dubuque,13
401405062,1,2294,Iowa,7,2571,South Dakota State,3
401404147,1,41,Connecticut,28,2115,Central Connecticut,3
401411095,1,2026,Appalachian State,61,153,North Carolina,63
401422987,1,322,Lafayette,6,2529,Sacred Heart,0
401411100,1,258,Virginia,34,257,Richmond,17
401431150,1,2354,Lycoming,16,216,Susquehanna,45
401431274,1,2891,Ripon,13,2832,St. Norbert,10
401443324,1,2062,Bethany (WV),26,2274,Hiram,16
401433397,1,2528,Rensselaer,14,2175,Dickinson,7
401431194,1,427,Ohio Northern,13,2800,Alma College,16
401431840,1,2913,Brevard College,6,2560,Shorter,45
401441262,1,2818,Montclair State,27,2644,Thiel College,6
401438685,1,2725,Widener,20,2827,Rowan,42
401459907,1,173,Hartwick,31,2951,SUNY Maritime,10
401432671,1,2686,Washington & Jefferson,35,2302,John Carroll,26
401431202,1,2812,Hope,38,2044,Aurora,34
401430951,1,2141,Coe,56,2155,Cornell College (IA),7
401441945,1,122774,Keystone,21,398,Wilkes,48
401431206,1,126,Kalamazoo,21,391,Oberlin,14
401433049,1,2707,WV State,29,2559,Shippensburg,6
401431255,1,2524,Rockford,41,266,Beloit College,14
401445793,1,2970,William Paterson,28,2843,Western Connecticut State,7
401432817,1,2553,Sewanee Univ. of the South,50,375,St. Scholastica,0
401479976,1,2310,Kentucky State,10,2170,Delta State,33
401439531,1,2614,St. Vincent,21,471,Stevenson,25
401431143,1,83,DePauw,17,86,Rose-Hulman,14
401430968,1,67,Luther,6,597,Presentation College,29
401432623,1,89,Wabash College,52,297,Hampden-Sydney,48
401432772,1,146,Grove City College,63,246,Juniata,6
401432543,1,417,Gallaudet,14,2845,Waynesburg,52
401432726,1,291,Methodist,10,2828,Shenandoah,27
401432581,1,352,Kenyon,33,2074,Bluffton,26
401439518,1,374,St. John Fisher,62,2085,Buffalo State,21
401438672,1,2248,Gettysburg,14,2079,Bridgewater (VA),29
401438554,1,2042,Augustana (IL),34,2519,Rhodes,28
401435131,1,2700,McDaniel College,27,2108,Catholic University,37
401437201,1,3162,Alfred State College,17,2969,Misericordia,14
401445128,1,2779,St Lawrence,0,452,Endicott College,27
401431525,1,2654,Truman State,19,110254,Davenport,20
401431866,1,101784,Erskine,49,124110,UFTL,2
401433022,1,126086,Post University,34,209,Lock Haven,35
401429850,1,2075,Bowie State,27,2441,New Haven,20
401432110,1,2213,Emory & Henry,20,2148,Concord,27
401431551,1,2886,Northwood (MI),55,2316,Kentucky Wesleyan,13
401438225,1,112334,Franklin Pierce,7,2205,Edinboro,10
401423136,1,2086,Butler,31,125730,St. Thomas University (Fl),26
401415209,1,2005,Air Force,48,2460,Northern Iowa,17
401432680,1,426,Mount Union,65,190,Defiance,0
401431059,1,2557,Coast Guard,10,111675,University of New England,17
401431136,1,2419,Mount St. Joseph,31,188,Baldwin-Wallace,28
401433408,1,241,McMurry,9,3,Birmingham-Southern,26
401432510,1,2964,Central,44,133,St. Olaf College,13
401432560,1,446,Martin Luther College,14,409,Concordia (WI),35
